MANDT,PERNR,SUBTY,OBJPS,SPRPS,ENDDA,BEGDA,SEQNR,AEDTM,UNAME,HISTO,ITXEX,REFEX,ORDEX,ITBLD,PREAS,FLAG1,FLAG2,FLAG3,FLAG4,RESE1,RESE2,GRPVL,TRFAR,TRFGB,TRFGR,TRFST,LGA01,BET01,ANZ01,EIN01,OPK01,LGA02,BET02,ANZ02,EIN02,OPK02,LGA03,BET03,ANZ03,EIN03,OPK03,LGA04,BET04,ANZ04,EIN04,OPK04,LGA05,BET05,ANZ05,EIN05,OPK05,LGA06,BET06,ANZ06,EIN06,OPK06,LGA07,BET07,ANZ07,EIN07,OPK07,LGA08,BET08,ANZ08,EIN08,OPK08,LGA09,BET09,ANZ09,EIN09,OPK09,LGA10,BET10,ANZ10,EIN10,OPK10,LGA11,BET11,ANZ11,EIN11,OPK11,LGA12,BET12,ANZ12,EIN12,OPK12,LGA13,BET13,ANZ13,EIN13,OPK13,LGA14,BET14,ANZ14,EIN14,OPK14,LGA15,BET15,ANZ15,EIN15,OPK15,LGA16,BET16,ANZ16,EIN16,OPK16,LGA17,BET17,ANZ17,EIN17,OPK17,LGA18,BET18,ANZ18,EIN18,OPK18,LGA19,BET19,ANZ19,EIN19,OPK19,LGA20,BET20,ANZ20,EIN20,OPK20,LGA21,BET21,ANZ21,EIN21,OPK21,LGA22,BET22,ANZ22,EIN22,OPK22,LGA23,BET23,ANZ23,EIN23,OPK23,LGA24,BET24,ANZ24,EIN24,OPK24,LGA25,BET25,ANZ25,EIN25,OPK25,LGA26,BET26,ANZ26,EIN26,OPK26,LGA27,BET27,ANZ27,EIN27,OPK27,LGA28,BET28,ANZ28,EIN28,OPK28,LGA29,BET29,ANZ29,EIN29,OPK29,LGA30,BET30,ANZ30,EIN30,OPK30,LGA31,BET31,ANZ31,EIN31,OPK31,LGA32,BET32,ANZ32,EIN32,OPK32,LGA33,BET33,ANZ33,EIN33,OPK33,LGA34,BET34,ANZ34,EIN34,OPK34,LGA35,BET35,ANZ35,EIN35,OPK35,LGA36,BET36,ANZ36,EIN36,OPK36,LGA37,BET37,ANZ37,EIN37,OPK37,LGA38,BET38,ANZ38,EIN38,OPK38,LGA39,BET39,ANZ39,EIN39,OPK39,LGA40,BET40,ANZ40,EIN40,OPK40,WAERS,INDRL,OTYPE,OBJID,VAMNT,VUNIT,IND01,MOD01,IND02,MOD02,IND03,MOD03,IND04,MOD04,IND05,MOD05,IND06,MOD06,IND07,MOD07,IND08,MOD08,IND09,MOD09,IND10,MOD10,IND11,MOD11,IND12,MOD12,IND13,MOD13,IND14,MOD14,IND15,MOD15,IND16,MOD16,IND17,MOD17,IND18,MOD18,IND19,MOD19,IND20,MOD20,IND21,MOD21,IND22,MOD22,IND23,MOD23,IND24,MOD24,IND25,MOD25,IND26,MOD26,IND27,MOD27,IND28,MOD28,IND29,MOD29,IND30,MOD30,IND31,MOD31,IND32,MOD32,IND33,MOD33,IND34,MOD34,IND35,MOD35,IND36,MOD36,IND37,MOD37,IND38,MOD38,IND39,MOD39,IND40,MOD40,BSGRD,DIVGV,ANSAL,ANCUM,CMPMN,ORZID,STVOR,OCRSN,CPIND,LGAWW,CMP_PROCESSID,CMP_PLANID,CMP_SEQUENCE,CMP_AMOUNT,CMP_PERCENT,CMP_NUMBER,CMP_PAYUNIT,CMP_NEW_SALARY,CMP_OLD_SALARY,CMP_REASON,CMP_STATUS,CMP_EFFECTIVE_DATE,DEDUCTION_AMOUNT,TAX_CODE,BENEFIT_PLAN,ENROLLMENT_STATUS,STOCK_OPTIONS,COMMISSION_PCT,BONUS_AMOUNT,HOURLY_RATE,MONTHLY_INCOME,PERCENT_SALARY_HIKE,DAILY_RATE,OVERTIME_RATE,DEPENDENTS_COVERAGE,SALARY_HISTORY_ID,RAISE_AMOUNT,PROMOTION_DATE,PAYROLL_PERIOD,TAX_DEDUCTION,NET_PAY,GROSS_PAY,BENEFITS_ENROLLMENT_DATE,STOCK_OPTION_LEVEL,PAYROLL_RELATIONSHIP_ID,BALANCE_TYPE_ID,BALANCE_DIMENSION_ID,ELEMENT_TYPE_ID,INPUT_VALUE_ID,PROCESSING_TYPE,PRIORITY,CLASSIFICATION_ID,COST_TYPE,ACTIVITY_TYPE
100,00000001,0000,01, ,20261231,20200106,000,20260114,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,1000,1271.79,1.00,USD,+,,,,,,,,,,,,,,,,1000,3139.47,1.00,USD,+,1000,2649.43,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,8279.57,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,5443.92,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,3111.28,1.00,USD,+,1000,6248.08,1.00,USD,+,,,,,,1000,4782.28,1.00,USD,+,EUR,X,O,00010001,203.59,USD,X,02,X,01,X,01, ,03,X,02,X,02,X,03, ,02, ,01, ,02,X,01,X,03, ,01,X,01,X,01, ,02,X,03, ,01, ,02,X,01, ,02, ,02, ,03, ,03,X,02,X,03,X,03,X,02, ,01, ,02,X,02, ,03, ,01,X,02, ,02,X,03, ,01, ,03, ,03, ,01,1.00,40.00,110961.00,X,X,00020001,20260911,, ,1000,00030001,00040001,001,7767.27,0.0700,1.000,USD,118728.27,110961.00,PROM,AP,20261208,743.26,TX01,BN01,A,8324,0.04,21021.51,53.35,9246.75,7,426.77,80.02,Y,00005001,7767.27,20241022,202412,2734.91,7520.37,10998.54,20200220,4,00008001,00009001,00009101,00009201,00009301,B,8736,00009401,C,PAYROLL_RUN
100,00000002,0000,01, ,20261231,20150925,000,20250710,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,1000,9971.11,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,3284.82,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,3424.26,1.00,USD,+,,,,,,1000,7050.99,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,1000,4272.1,1.00,USD,+,1000,4870.06,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,INR,X,O,00010001,381.57,USD, ,02, ,01, ,03,X,02,X,01,X,01,X,03,X,02, ,03, ,02, ,02, ,02,X,01,X,03,X,03, ,02, ,01,X,01,X,03,X,02,X,01, ,02,X,01, ,03,X,01,X,02, ,01, ,03,X,02,X,01,X,01, ,02, ,03, ,02,X,03, ,03, ,02, ,03,X,01,X,03,1.00,40.00,249616.00,X,X,00020001,20261030,, ,1000,00030001,00040001,001,47427.04,0.1900,1.000,USD,297043.04,249616.00,PROM,AP,20251010,1488.93,TX01,BN01,A,3543,8.8,49081.06,120.01,20801.33,19,960.06,180.01,N,00005002,47427.04,20230219,202410,5118.32,18284.17,24891.42,20240426,2,00008002,00009002,00009102,00009202,00009302,A,9416,00009402,C,PAYROLL_RUN
100,00000003,0000,01, ,20261231,20200327,000,20260518,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,1000,5650.33,1.00,USD,+,,,,,,1000,4427.65,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,5525.88,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,3291.1,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7231.79,1.00,USD,+,,,,,,,,,,,1000,1934.95,1.00,USD,+,,,,,,,,,,,1000,7657.5,1.00,USD,+,,,,,,,,,,,USD,X,O,00010001,109.43,USD, ,03,X,03,X,01, ,02,X,03, ,03, ,02,X,02,X,03, ,02,X,03,X,03,X,03, ,01, ,02,X,02, ,03,X,03, ,03, ,02,X,02,X,02, ,03,X,03,X,02, ,03,X,03, ,02,X,03,X,03, ,03, ,03, ,02, ,01, ,03, ,01,X,03,X,01, ,01,X,03,1.00,40.00,94233.00,X,X,00020001,20261130,, ,1000,00030001,00040001,001,15077.28,0.1600,1.000,USD,109310.28,94233.00,PROM,AP,20260930,800.71,TX01,BN01,A,3122,6.69,17838.44,45.3,7852.75,16,362.43,67.96,Y,00005003,15077.28,20210524,202403,2715.14,5823.44,9339.29,20170507,5,00008003,00009003,00009103,00009203,00009303,A,4543,00009403,C,PAYROLL_RUN
100,00000004,0000,01, ,20261231,20150128,000,20240923,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,1000,2908.61,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,4177.6,1.00,USD,+,1000,3682.37,1.00,USD,+,,,,,,,,,,,1000,9527.72,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,4280.16,1.00,USD,+,,,,,,,,,,,1000,7180.88,1.00,USD,+,1000,2024.6,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,1000,6052.94,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,5305.85,1.00,USD,+,,,,,,1000,6099.01,1.00,USD,+,,,,,,USD,X,O,00010001,232.95,USD, ,01,X,01, ,02, ,03,X,03, ,02,X,03,X,03, ,03,X,01, ,02,X,03, ,02,X,01,X,03, ,02,X,01, ,01,X,03,X,03,X,01, ,01,X,02,X,01,X,03, ,02,X,02, ,02,X,02,X,02, ,01, ,02, ,03, ,01,X,02,X,02, ,02,X,02,X,01, ,01,1.00,40.00,214470.00,X,X,00020001,20260406,, ,1000,00030001,00040001,001,40749.30,0.1900,1.000,USD,255219.30,214470.00,PROM,AP,20250220,1877.75,TX01,BN01,A,2133,18.69,26961.07,103.11,17872.50,19,824.88,154.67,Y,00005004,40749.30,20250206,202404,5936.54,12304.97,20119.26,20150501,1,00008004,00009004,00009104,00009204,00009304,A,3784,00009404,D,PAYROLL_RUN
100,00000005,0000,01, ,20261231,20210118,000,20261122,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,4361.95,1.00,USD,+,,,,,,1000,6004.33,1.00,USD,+,,,,,,,,,,,1000,4955.69,1.00,USD,+,,,,,,,,,,,,,,,,1000,7149.24,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1805.83,1.00,USD,+,1000,3636.27,1.00,USD,+,,,,,,,,,,,,,,,,1000,4660.39,1.00,USD,+,USD,X,O,00010001,296.88,USD,X,03, ,02,X,02,X,02, ,03,X,01,X,01, ,02,X,03, ,03,X,03, ,03, ,02,X,01, ,03,X,02, ,03, ,02,X,01, ,01,X,02, ,01, ,02,X,03,X,03,X,01, ,01, ,03,X,03,X,01, ,02, ,03,X,01,X,03,X,02,X,03,X,03, ,02, ,03, ,03,1.00,40.00,249556.00,X,X,00020001,20260422,, ,1000,00030001,00040001,001,44920.08,0.1800,1.000,USD,294476.08,249556.00,PROM,AP,20250222,1648.10,TX01,BN01,A,4653,15.16,44492.36,119.98,20796.33,18,959.83,179.97,Y,00005005,44920.08,20220206,202412,7350.87,15505.06,24504.03,20210508,1,00008005,00009005,00009105,00009205,00009305,B,8010,00009405,C,PAYROLL_RUN
100,00000006,0000,01, ,20261231,20190222,000,20260412,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,9548.36,1.00,USD,+,,,,,,,,,,,1000,7660.43,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,6542.67,1.00,USD,+,,,,,,1000,9466.17,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,5737.27,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,X,O,00010001,225.38,USD, ,02,X,01,X,01, ,03,X,03, ,03,X,01,X,01,X,02, ,02,X,03,X,03, ,02, ,02, ,01,X,03, ,02, ,02,X,01, ,03, ,03, ,03, ,01,X,01,X,01,X,01,X,01,X,03,X,02,X,02,X,02, ,03,X,01, ,02, ,03, ,03,X,02,X,03,X,03, ,02,1.00,40.00,155813.00,X,X,00020001,20250326,, ,1000,00030001,00040001,001,31162.60,0.2000,1.000,USD,186975.60,155813.00,PROM,AP,20261227,979.30,TX01,BN01,A,5911,18.1,16964.05,74.91,12984.42,20,599.28,112.37,N,00005006,31162.60,20200529,202403,3206.07,10212.72,14398.09,20150701,3,00008006,00009006,00009106,00009206,00009306,B,7146,00009406,D,PAYROLL_RUN
100,00000007,0000,01, ,20261231,20200917,000,20240726,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,,,,,,,,,,,,,,,,1000,6610.28,1.00,USD,+,,,,,,1000,2710.7,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1406.05,1.00,USD,+,,,,,,,,,,,1000,3930.38,1.00,USD,+,,,,,,,,,,,,,,,,1000,6412.95,1.00,USD,+,,,,,,,,,,,1000,6680.61,1.00,USD,+,,,,,,1000,3143.68,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,X,O,00010001,226.23,USD,X,01, ,02, ,02,X,02,X,02, ,01,X,02, ,01,X,03, ,01,X,01, ,03,X,02,X,01, ,01,X,02,X,02,X,02,X,02,X,03, ,02,X,02, ,02, ,02,X,01, ,02, ,01, ,01, ,01, ,02,X,01, ,03, ,01,X,01,X,01,X,01,X,03,X,02, ,02,X,02,1.00,40.00,143366.00,X,X,00020001,20260527,, ,1000,00030001,00040001,001,14336.60,0.1000,1.000,USD,157702.60,143366.00,PROM,AP,20250829,683.28,TX01,BN01,A,9399,10.75,8323.34,68.93,11947.17,10,551.41,103.39,Y,00005007,14336.60,20210629,202408,3693.17,8264.33,12640.78,20181211,4,00008007,00009007,00009107,00009207,00009307,B,5703,00009407,C,PAYROLL_RUN
100,00000008,0000,01, ,20261231,20210701,000,20250205,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,1000,2080.55,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,8318.54,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1903.65,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,1000,1559.29,1.00,USD,+,,,,,,1000,1873.0,1.00,USD,+,,,,,,,,,,,1000,1647.32,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,1000,5914.3,1.00,USD,+,1000,6727.19,1.00,USD,+,,,,,,,,,,,,,,,,1000,6452.45,1.00,USD,+,INR,X,O,00010001,434.94,USD,X,03, ,03, ,03,X,03,X,03, ,02, ,03, ,02, ,03, ,01,X,03, ,03,X,02, ,02, ,01, ,03,X,02,X,02, ,03, ,03,X,01, ,03,X,01, ,01,X,03,X,03,X,02, ,02,X,03, ,03, ,01, ,01,X,03, ,02, ,02, ,01, ,01,X,02, ,01, ,01,1.00,40.00,247444.00,X,X,00020001,20260202,, ,1000,00030001,00040001,001,22269.96,0.0900,1.000,USD,269713.96,247444.00,PROM,AP,20251108,1248.97,TX01,BN01,A,8371,2.46,27338.44,118.96,20620.33,9,951.71,178.45,Y,00005008,22269.96,20230203,202403,4029.23,17620.33,22898.53,20230502,4,00008008,00009008,00009108,00009208,00009308,B,7640,00009408,C,PAYROLL_RUN
100,00000009,0000,01, ,20261231,20150401,000,20240928,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,,,,,,,,,,,,,,,,,,,,,1000,8593.58,1.00,USD,+,1000,8437.3,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7059.65,1.00,USD,+,,,,,,,,,,,,,,,,1000,6432.41,1.00,USD,+,,,,,,1000,1687.29,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2795.54,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,1000,8829.29,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,1000,1136.01,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,EUR,X,O,00010001,435.58,USD, ,02, ,01, ,01, ,02, ,02, ,02, ,02,X,01, ,03, ,01, ,01, ,01, ,02, ,01, ,03, ,01, ,01, ,02,X,02,X,01,X,02,X,03, ,02,X,01, ,01,X,02,X,03,X,03,X,02, ,03,X,03, ,01,X,03, ,02,X,02, ,01, ,03,X,02, ,02,X,03,1.00,40.00,71055.00,X,X,00020001,20260817,, ,1000,00030001,00040001,001,4263.30,0.0600,1.000,USD,75318.30,71055.00,PROM,AP,20260209,365.97,TX01,BN01,A,2838,14.98,9883.41,34.16,5921.25,6,273.29,51.24,N,00005009,4263.30,20210109,202406,1531.74,4847.16,6744.87,20210402,1,00008009,00009009,00009109,00009209,00009309,A,6115,00009409,C,PAYROLL_RUN
100,00000010,0000,01, ,20261231,20150804,000,20240705,HR_ADMIN, ,X, , ,01,01, , , , , , ,GRP1,A1,US,ENGG,01,,,,,,,,,,,1000,4703.85,1.00,USD,+,,,,,,1000,6331.94,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7528.26,1.00,USD,+,1000,6424.37,1.00,USD,+,1000,1342.0,1.00,USD,+,1000,4958.85,1.00,USD,+,1000,4360.42,1.00,USD,+,1000,6051.7,1.00,USD,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INR,X,O,00010001,335.85,USD, ,03, ,01, ,01, ,01,X,01, ,02, ,02,X,02,X,02,X,03, ,03,X,03,X,01, ,01,X,01,X,03, ,02, ,02,X,01,X,02, ,03, ,03, ,01, ,01, ,03,X,01,X,02, ,01,X,02,X,03, ,02, ,03, ,03, ,02, ,03,X,01,X,02, ,01, ,03, ,01,1.00,40.00,80404.00,X,X,00020001,20260419,, ,1000,00030001,00040001,001,7236.36,0.0900,1.000,USD,87640.36,80404.00,PROM,AP,20260320,673.68,TX01,BN01,A,252,5.21,12956.82,38.66,6700.33,9,309.25,57.98,Y,00005010,7236.36,20200304,202402,1938.20,5168.18,7780.06,20150831,5,00008010,00009010,00009110,00009210,00009310,A,1640,00009410,D,PAYROLL_RUN
